Book Name,Cluster Label
2019-20 MATRIX Annals,1
A book of nonsense,1
A book of scoundrels,1
A little book of eternal wisdom,1
A people's history of the Russian Revolution,1
A project manager's book of forms,1
A project manager's book of tools and techniques,1
A royal pet,1
A Sunday in London,1
Academic knowledge construction and multimodal curriculum development,1
Academic library development and administration in China,1
Academic listening encounters,1
Accelerated opportunity education models and practices,1
Accountancy and the changing landscape of integrated reporting,1
Accounting information systems,1
Achieve IELTS 2,1
Across cultures,1
Addressing issues of systemic racism during turbulent times,1
Administrative leadership in open and distance learning programs,1
Adobe Dreamweaver 2020 release,1
Advanced calculus,1
Advanced expert CAE,1
Advanced expert CAE,1
Advanced expert CAE,1
Advanced expert CAE,1
Advanced fashion technology and operations management,1
Advanced image processing techniques and applications,1
Advanced manufacturing techniques using laser material processing,1
Advanced methods for complex network analysis,1
Advanced numerical simulations in mechanical engineering,0
Advanced research on nanotechnology for civil engineering applications,0
Advanced solid catalysts for renewable energy production,1
Advanced treatment techniques for industrial wastewater,1
Advancements in fuzzy reliability theory,1
Advances and applications in deep learning,1
Advances and Innovations in Statistics and Data Science,1
Advancing medicine through nanotechnology and nanomechanics applications,1
"Aflatoxin B1 occurrence, detection and toxicological effects",8
Agricultural finance and opportunities for investment and expansion,1
Agricultural management strategies in a changing economy,13
AIDS book review journal,1
Alginates,1
American hand book of the daguerreotype,1
An integrated introduction to computer graphics and geometric modeling,14
Analyzing current and future global trends in populism,1
Analyzing the economics of financial market infrastructures,7
Anil Aggrawal's internet journal of book reviews,1
Animal feed science and nutrition,1
Animal reproduction,1
Annual announcement,1
Applications of artificial neural networks for nonlinear data,1
Applications of conscious innovation in organizations,1
Applied aspects of optical communication and LIDAR,1
Applied behavioral economics research and trends,1
Applied big data analytics and its role in COVID-19 research,1
Applied big data analytics in operations management,1
Applied chaos and complexity theory in education,1
Applied ethics in a digital world,1
Applied social science approaches to mixed methods research,1
Applied video processing in surveillance and monitoring systems,1
Applying big data analytics in bioinformatics and medicine,1
Applying business intelligence to clinical and healthcare organizations,2
Applying nanotechnology for environmental sustainability,5
Applying neuroscience to business practice,2
Applying predictive analytics within the service sector,1
Arabidopsis book,1
Archaeology of the Hunter-Gatherers of the Central Mountains of Tierra del Fuego,1
Artificial intelligence,1
Artificial Intelligence,1
Artificial intelligence applications in distance education,1
Assessment in Geographical Education: An International Perspective,1
Assessment tools for mapping learning outcomes with learning objectives,1
Assistive technologies for physical and cognitive disabilities,1
"Assistive technology research, practice, and theory",1
Augmented reality for enhanced learning environments,5
Australia and New Zealand,1
Australia and New Zealand,1
Automated enterprise systems for maximizing business performance,2
Bank and Thrift Branch Office data book,1
Bank and Thrift Branch Office data book,1
Bank and Thrift Branch Office data book,1
Bank and Thrift Branch Office data book,1
Bank and Thrift Branch Office data book,1
Bank and Thrift Branch Office data book,1
Bank and Thrift Branch Office data book,1
Basic English for computing,4
Basic technical English,4
Be my guest,1
Be my guest,1
Be my guest,1
Benzimidazole,1
Big data,1
Big data applications in the telecommunications industry,1
Big Data in small slices,1
"Big data management, technologies, and applications",1
Big data-enabled internet of things,1
Biochemical testing,1
Biochemistry and health benefits of fatty acids,1
Bioluminescence,1
Biomedical computing for breast cancer detection and diagnosis,11
Blockchain applications in IoT security,1
Blockchain Driven Supply Chains and Enterprise Information Systems,1
Blue fairy book,1
Book 1,1
Book 2,1
Book research quarterly,1
Book-keeping and accounts,1
Book-lore,1
Bookworm,1
Brain-computer interface,14
Bridges,1
Bridges,1
Britain,1
Britannica book of the year,1
Britannica book of the year,1
British festivals,1
BTEC National Applied Psychology Student Book,1
"BTEC tech award: sport, activity and fitness",1
BTEC tech award: travel and tourism,1
Building equitable access to knowledge through open access repositories,1
Business Advantage,3
Business Advantage,3
Business Advantage,3
Business Benchmark,3
Business Benchmark,3
Business benchmark,3
Business benchmark,3
Business Benchmark,3
Business Benchmark,3
Business Benchmark,3
Business Benchmark,3
Business Benchmark,3
Business Benchmark,3
Business Benchmark,3
Business class,3
Business English certificate,12
Business English handbook,12
Business ethics,3
Business infrastructure for sustainability in developing economies,3
Business Partner B2,3
Business Partner C1,3
Business proficiency,3
Business result - Advanced,3
Business result - Advanced,3
Business result - Upper-intermediate,3
"Cambridge Academic English, Advanced",4
"Cambridge Academic English, Upper intermediate",4
Cambridge English empower advanced,4
Cambridge English for engineering,6
Cambridge IGCSE physical education,1
Cases on communication disorders in culturally diverse populations,1
Cases on digital strategies and management issues in modern organizations,1
Cases on human performance improvement technologies,1
Cases on leadership in adult education,1
Cases on quality initiatives for organizational longevity,1
Cases on STEAM education in practice,1
CDC Yellow book 2020,1
Cell culture,1
Challenges and opportunities of open educational resources management,1
"Challenges to integrating diversity, equity, and inclusion programs in organizations",1
Changing urban landscapes through public higher education,1
Chemical properties of starch,1
Chikungunya virus,1
China Internet Development Report 2019,1
China Internet Development Report 2020,1
China’s e-Science Blue Book 2018,1
China’s e-Science Blue Book 2020,1
Christmas,1
Christmas Day,1
Christmas Eve,1
Circular economy and re-commerce in the fashion industry,13
Classification and clustering in biomedical signal processing,11
Clinical concepts and practical management techniques in dentistry,1
Cloud computing systems and applications in healthcare,1
Cloud computing technologies for green enterprises,1
Cochrane handbook for systematic reviews of interventions,1
Cognitive radio sensor networks,1
Collaboration and student engagement in design education,1
Collaborative filtering using data mining and analysis,1
Collaborative knowledge in scientific research networks,1
Communicating across cultures,1
Communicating project management,1
Company to company,1
Company to company,1
Comparative economics and regional development in Turkey,1
Comparative perspectives on global corporate social responsibility,1
Competence-based innovation in hospitality and tourism,1
Complete guide to the TOEIC Test,1
Computational and cognitive approaches to narratology,1
Computational intelligence in remanufacturing,1
Computational statistics,1
Computational techniques for modeling atmospheric processes,1
Computational tools and techniques for biomedical signal processing,11
Computer-mediated briefing for architects,1
"Confluence of AI, machine, and deep learning in cyber forensics",10
Conserving and Managing Historical Urban Landscape,1
Contemporary applications of mobile computing in healthcare settings,1
Contemporary approaches and strategies for applied logistics,1
Contemporary ethical issues in engineering,0
Contemporary knowledge and systems science,1
"Contemporary politics, communication, and the impact on democracy",15
Content generation through narrative communication and simulation,1
"Convergence of broadband, broadcast, and cellular network technologies",1
CRC handbook of chemistry and physics,1
"Creating personal, social, and urban awareness through pervasive computing",1
Creating teacher immediacy in online learning environments,5
Creative technologies for multidisciplinary applications,1
Critical approaches to information retrieval research,1
"Critical concepts, standards, and techniques in cyber forensics",1
Critical developments and applications of swarm intelligence,1
Critical examinations of distance education transformation across disciplines,1
Critical Planning and Design,1
Critical theory and transformative learning,1
Cross-cultural analysis,1
Crowdfunding for sustainable entrepreneurship and innovation,1
Cultural influences on architecture,1
Cultural urban heritage,1
Current and prospective applications of virtual reality in higher education,1
Current Challenges in Architecture and Urbanism in Albania,1
Curriculum development for gifted education programs,1
Curriculum internationalization and the future of education,1
Data analytics and AI,1
Data book,1
Data envelopment analysis and effective performance assessment,1
Data infrastructure management,1
Data mining,1
Data science and simulation in transportation research,1
Dealing with stress in a modern work environment,5
Design and investment of high voltage nanodielectrics,1
Design and modeling of low power VLSI systems,1
Design and optimization of mechanical engineering products,0
Design for Vulnerable Communities,1
Design solutions and innovations in temporary structures,1
Design solutions for improving website quality and effectiveness,1
Design strategies and innovations in multimedia presentations,1
Destination B2,1
Detecting and mitigating robotic cyber security risks,1
Developing and applying optoelectronics in machine vision,10
Developing creative economy through disruptive leadership,13
Developing effective communication skills in archaeology,1
Developing effective educational experiences through learning analytics,1
Developing organizational maturity for effective project management,1
Diasporas and transnational entrepreneurship in global contexts,1
Digital compositing for film and video,1
Digital Design Techniques and Exercises,1
Digital entrepreneurship and global innovation,1
Digital Manufacturing,1
Digital solutions and the case for Africa's sustainable development,1
Direct to TOEFL ® iBT,1
Disability and equity in higher education accessibility,1
Diverse contemporary issues facing business management education,2
DNA methylation mechanism,1
Documentary editing,1
Doing business in India,2
Dramatic notes,1
Driving agribusiness with technology innovations,18
Driving green consumerism through strategic sustainability marketing,7
"Economic modeling, analysis, and policy for sustainability",1
Economic reforms for global competitiveness,1
Ecosystem-Based Disaster and Climate Resilience,1
Ecotourism and conservation in the Americas,1
Ecotourism in Scandinavia,1
Education review,1
Educational development and infrastructure for immigrants and refugees,1
Effective meetings,1
Effective meetings,1
Effective methods for software engineering,0
Effective solutions to pollution mitigation for public welfare,1
Effective standardization management in corporate settings,1
Effective techniques for managing trigeminal neuralgia,1
Effective writing,1
EHT transmission performance evaluation,1
Electrical engineering,0
Electrical engineering textbook,0
Electromagnetic compatibility for space systems design,1
Elements of Synthesis Planning,1
Emergent research on polymeric and composite materials,1
Emerging design solutions in structural health monitoring systems,1
Emerging developments and practices in oncology,1
Emerging innovations in microwave and antenna engineering,0
Emerging innovations in wireless networks and broadband technologies,1
Emerging nanotechnology applications in electrical engineering,0
Emerging perspectives on the mobile content evolution,1
Emerging research on bioinspired materials engineering,0
Emerging research on networked multimedia communication systems,1
Emerging research on swarm intelligence and algorithm optimization,1
Emerging theory and practice in neuroprosthetics,1
Emerging Topics in Modeling Interval-Censored Survival Data,1
Empirical research on semiotics and visual rhetoric,1
Employment protection legislation in emerging economies,1
"Energetic materials research, applications, and new technologies",1
Energy English,4
Energy English,4
Energy-efficient underwater wireless communications and networking,1
Engineering 1,1
Engineering 1,1
Engineering creative design in robotics and mechatronics,1
Engineering-medicine,1
English 365,4
English 365,4
English 365,4
English 365,4
English 365,4
English 365,4
English 365,4
English 365,4
English 365,4
English for academic purposes,4
English for academic purposes,4
English for academic study: listening,4
English for academic study: reading & writing,4
English for academic study: speaking & pronunciation,4
English for Business Life,12
English for Business Life,12
English for business studies,9
English for business studies in higher education studies,9
English for electrical engineering in higher education studies,6
English for electrical engineering in higher education studies,6
English for environmental science in higher education studies,16
English for health sciences,4
English for health sciences,4
English for international negotiations,4
English for mechanical engineering B2,6
English for medicine in higher education studies,4
English for medicine in higher education studies,4
English for nursing,4
English for science and engineering,6
English for science and engineering,6
English for science and engineering,6
English for tourism and hospitality in higher education studies,4
English for tourism and hospitality in higher education studies,4
English pronunciation in use,4
Enhancing academic research with knowledge management principles,1
Enhancing competitive advantage with dynamic management and engineering,0
Ensuring research integrity and the ethical management of data,1
Environmental impacts of ecotourism,1
Environmental impacts on underground power distribution,1
Environmental issues surrounding human overpopulation,1
Environmental sustainability and climate change adaptation strategies,1
Environmental Sustainability in Building Design and Construction,1
Essential oils,1
Essential telephoning in English,4
Essential telephoning in English,4
Essential telephoning in English,4
Ethical issues in social work practice,1
Ethical research approaches to indigenous knowledge education,1
Ethical standards and practice in international relations,1
Ethics of hospitality,1
Evaluating media richness in organizational learning,1
Evolution and standardization of mobile communications technology,1
Evolving multicultural education for global classrooms,1
Examining quantum algorithms for quantum image processing,1
Experimental multimedia systems for interactivity and strategic innovation,1
Exploring innovative and successful applications of soft computing,1
Exploring multimodal composition and digital writing,1
Exploring transmedia journalism in the digital age,1
Express your Genius,1
Extracellular matrix,1
Face recognition in adverse conditions,1
Face2face,1
Face2face,1
Face2face,1
Face2face,1
Face2face,1
FCE Gold Plus,1
Feature detectors and motion detection in video processing,1
Feral information systems development,1
Feynman and computation,1
Fibroblasts,1
Financial entrepreneurship for economic growth in emerging nations,1
First book of Adam and Eve,1
First insights into business,2
First insights into business,2
Flavonoids,1
Flip chart magic!,1
Focus on IELTS,1
Food systems resilience,1
Forest fire danger prediction using deterministic-probabilistic approach,1
Fostering communication and learning with underutilized technologies in higher education,1
Fourth Places,1
Funding challenges and successes in arts education,1
Further ahead,1
Further ahead,1
Further ahead,1
Further ahead,1
Fuzzy expert systems for disease diagnosis,1
Fuzzy Logic,1
Game theory framework applied to wireless communication networks,1
Gender and diversity representation in mass media,1
GEO year-book,1
Geocomputation with R,1
Geospatial technologies in urban system development,1
Germany,1
Global adaptations of community college infrastructure,1
Global business leadership development for the fourth industrial revolution,2
Global development of religious tourism,1
Global implications of emerging technology trends,1
Global intermediation and logistics service providers,1
Global perspectives on development administration and cultural change,1
Global perspectives on religious tourism and pilgrimage,1
Global trends in intelligent computing research and development,1
Glutathione system and oxidative stress in health and disease,1
Good practice,1
Good practice,1
Good practice,1
Governance of climate responsive cities,1
Green accounting initiatives and strategies for sustainable development,1
Green approaches to biocomposite materials science and engineering,0
Green production strategies for sustainability,1
Handbook of research on digital citizenship and management during crises,1
Handbook of research on Geospatial science and technologies,1
Handbook of research on global aspects of sustainable finance in times of crises,1
Handbook of research on inventive bioremediation techniques,1
Handmade teaching materials for students with disabilities,1
Harnessing human capital analytics for competitive advantage,1
Healthcare administration for patient safety and engagement,1
Hidden Geographies,1
High performance SQL server,1
Highly recommended 2,1
Historic Cities in the Face of Disasters,1
HIT or Miss for the Student,1
Holy Grail,1
Human microbiome,1
Human resource management practices for promoting sustainability,1
Hydrogen storage technology,1
Hydrolases,1
"Identification, evaluation, and perceptions of distance education experts",1
Ideological messaging and the role of political literature,8
IELTS 14,1
IELTS 14,1
IELTS Graduation,1
IELTS Graduation,1
Impact of global issues on international trade,1
Impact of industry 4.0 on architecture and cultural heritage,1
Impact of infodemic on organizational performance,1
Impacts of climate change on agriculture and aquaculture,1
Impacts of violent conflicts on resource control and sustainability,1
Improving information security practices through computational intelligence,1
Improving survey methods,1
In company - Intermediate,1
In company - Intermediate,1
In company - pre-intermediate,1
