name,Subject_1,Subject_2,Subject_3,Author,Publisher,First Published ,Cluster Label,Category,id
2019-20 MATRIX Annals,,,," Jan de Gier, Cheryl E. Praeger, Terence Tao",Springer International Publishing Springer,2021,1,Miscellaneous,1
A book of nonsense,,,, Edward Lear,Project Gutenberg,1995,1,Miscellaneous,2
A book of scoundrels,,,,Charles Whibley,University of Virginia Library,1996,1,Miscellaneous,3
A little book of eternal wisdom,"Seuse, Heinrich",Mysterious,, Henry Suso,Christian Classics Ethereal Library,1995,1,Miscellaneous,4
A people's history of the Russian Revolution,Russia,February revolution 1917,October revolution,Neil Faulkner,Pluto Press,2017,1,Miscellaneous,5
A project manager's book of forms,,,,Cynthia Snyder Dionisio,Wiley,2017,1,Miscellaneous,6
A project manager's book of tools and techniques,,,,Cynthia Snyder Dionisio,Wiley,2018,1,Miscellaneous,7
A royal pet,,,, Washington Irving,Alex Catalogue,1995,1,Miscellaneous,8
A Sunday in London,,,, Washington Irving,Alex Catalogue,1995,1,Miscellaneous,9
Academic knowledge construction and multimodal curriculum development,University,Teaching technology,Computer -assisted learning,"Douglas J. Loveless (James Madison University, USA), Bryant Griffith (Texas A&M University - Corpus Christi, USA), Margaret E. Bérci (College of Staten Island/CUNY, USA), Evan Ortlieb (Monash University, Australia), Pamela M. Sullivan (James Madison University, USA)","Information Science Reference, an imprint of IGI Global",2014,1,Miscellaneous,10
Academic library development and administration in China,China,Scientific library,,"Lian Ruan (Illinois Fire Service Institute at the University of Illinois at Urbana-Champaign, USA), Qiang Zhu (Peking University, China), Ying Ye (Nanjing University, China)","IGI Global, Disseminator of Knowledge",2017,1,Miscellaneous,11
Academic listening encounters,English,Communication,,,Klett Cambridge Univ. Press,2006,1,Miscellaneous,12
Accelerated opportunity education models and practices,,,,"Rene Cintron (Louisiana Community & Technical College System, USA), Jeanne C. Samuel (Delgado Community College, USA), Janice M. Hinson (University of North Carolina at Charlotte, USA)","IGI Global, Disseminator of Knowledge",2017,1,Miscellaneous,13
Accountancy and the changing landscape of integrated reporting,,,,"Ioana Dragu (Babes-Bolyai University, Romania)","IGI Global, Disseminator of Knowledge",2018,1,Miscellaneous,14
Accounting information systems,Accounting,Information system,,"Marshall B. Romney, Paul John Steinbart, Scott L. Summers, David A. Wood",Pearson,2021,1,Miscellaneous,15
Achieve IELTS 2,International English Language Testing System,English class,,Louis Harrison ; Caroline Cushen ; Susan Hutchison,Langenscheidt,2006,1,Miscellaneous,16
Across cultures,,,,Elizabeth Sharman,Longman,2006,1,Miscellaneous,17
Addressing issues of systemic racism during turbulent times,,,,"Jennifer T. Butcher, Wilbert C. Baker, eds.","Information Science Reference, an imprint of IGI Global",2022,1,Miscellaneous,18
Administrative leadership in open and distance learning programs,,,,"Koksal Buyuk (Anadolu University, Turkey), Serpil Kocdar (Anadolu University, Turkey), Aras Bozkurt (Anadolu University, Turkey)","IGI Global, Disseminator of Knowledge",2018,1,Miscellaneous,19
Adobe Dreamweaver 2020 release,Dreamweaver,,,Jim Maivald [Writer: James J. Maivald],Adobe,2020,1,Miscellaneous,20
Advanced calculus,Analysis,,,John Srdjan Petrovic,CRC Press,2014,1,Miscellaneous,21
Advanced expert CAE,,,,Drew Hyde ...,Pearson Education,2005,1,Miscellaneous,22
Advanced expert CAE,,,,Jane Barnes ...,Pearson Education,2005,1,Miscellaneous,23
Advanced expert CAE,,,,Jane Barnes ...,Pearson Education,2006,1,Miscellaneous,24
Advanced expert CAE,,,,Jane Barnes ...,Pearson Education,2007,1,Miscellaneous,25
Advanced fashion technology and operations management,,,,"Alessandra Vecchi (London College of Fashion, University of London Arts, UK)","IGI Global, Disseminator of Knowledge",2017,1,Miscellaneous,26
Advanced image processing techniques and applications,,,,"N. Suresh Kumar (VIT University, India), Arun Kumar Sangaiah (VIT University, India), M. Arun (VIT University, India), S. Anand (VIT University, India)","IGI Global, Disseminator of Knowledge",2017,1,Miscellaneous,27
Advanced manufacturing techniques using laser material processing,,,,"Esther Titilayo Akinlabi (Univeristy of Johannesburg, South Africa), Rasheedat Modupe Mahamood (University of Johannesburg, South Africa & University of Ilorin, Nigeria), Stephen Akinwale Akinlabi (University of Johannesburg, South Africa)","Engineering Science Reference, an imprint of IGI Global",2016,1,Miscellaneous,28
Advanced methods for complex network analysis,,,,"Natarajan Meghanathan (Jackson State University, USA)","Information Science Reference, an imprint of IGI Global",2016,1,Miscellaneous,29
Advanced numerical simulations in mechanical engineering,,,,"Ashwani Kumar (Government of Uttar Pradesh, India), Pravin P. Patil (Graphic Era University, India), Yogesh Kr. Prajapati (National Institute of Technology Uttarakhand, India)","IGI Global, Disseminator of Knowledge",2018,0,Engineering/Technology,30
Advanced research on nanotechnology for civil engineering applications,,,,"Anwar Khitab (Mirpur University of Science and Technology, Pakistan), Waqas Anwar (Mirpur University of Science and Technology, Pakistan)","Engineering Science Reference, an imprint of IGI Global",2016,0,Engineering/Technology,31
Advanced solid catalysts for renewable energy production,,,,"Sergio Gonzalez-Cortes (Oxford University, UK), Freddy Emilio Imbert (Univsersidad de Los Andes, Venezuela)","IGI Global, Disseminator of Knowledge",2018,1,Miscellaneous,32
Advanced treatment techniques for industrial wastewater,,,,"Athar Hussain (Chaudhary Brahm Prakash Government Engineering College, India), Sirajuddin Ahmed (Jamia Millia Islamia, India)",IGI Global,2019,1,Miscellaneous,33
Advancements in fuzzy reliability theory,,,,"Akshay Kumar (Graphic Era Hill University, India), Mangey Ram (Department of Mathematics, Graphic Era (Deemed), India), Om Prakash Yadav (North Dakota State University, USA)","IGI Global, Publisher of Timely Knowledge",2021,1,Miscellaneous,34
Advances and applications in deep learning,Deep learning,Machine learning,, Marco Antonio Aceves-Fernandez,IntechOpen,2023,1,Miscellaneous,35
Advances and Innovations in Statistics and Data Science,,,," Wenqing He, Liqun Wang, Jiahua Chen, Chunfang Devon Lin",Springer International Publishing Springer,2022,1,Miscellaneous,36
Advancing medicine through nanotechnology and nanomechanics applications,,,,"Keka Talukdar (Nadiha High School, India), Mayank Bhushan (Pondicherry University, India), Anil Shantappa Malipatil (Guru Nanak Dev Engineering College – Bidar, India)","IGI Global, Disseminator of Knowledge",2017,1,Miscellaneous,37
"Aflatoxin B1 occurrence, detection and toxicological effects",,,, Xi-Dai Long,IntechOpen,2023,8,Miscellaneous,38
Agricultural finance and opportunities for investment and expansion,,,,"Augustine O. Ejiogu (Imo State University, Nigeria)","IGI Global, Disseminator of Knowledge",2018,1,Miscellaneous,39
Agricultural management strategies in a changing economy,,,,"Gabriel Popescu (Bucharest Academy of Economic Studies, Romania), Andrei Jean-Vasile (Petroleum - Gas University of Ploiesti, Romania)","Business Science Reference, an imprint of IGI Global",2015,13,Miscellaneous,40
AIDS book review journal,,,,,UIC Univ. Library,1993,1,Miscellaneous,41
Alginates,,,," Leonel Pereira, co-editor: João Cotas",IntechOpen,2023,1,Miscellaneous,42
American hand book of the daguerreotype,,,, S.D. Humphrey,Project Gutenberg,1995,1,Miscellaneous,43
An integrated introduction to computer graphics and geometric modeling,Geometric modeling,Algorithmic geometry,Computer graphics,Ronald Goldman,CRC Press,2009,14,Engineering/Technology,44
Analyzing current and future global trends in populism,populism,International policy,,Adrian David Cheok [edt],Information Science Reference,2022,1,Miscellaneous,45
Analyzing the economics of financial market infrastructures,Loan market,Infrastructure,regulation,"Martin Diehl (Deutsche Bundesbank, Germany), Biliana Alexandrova-Kabadjova (Banco de México, Mexico), Richard Heuver (De Nederlandsche Bank, The Netherlands), Serafín Martínez-Jaramillo (Banco de México, Mexico)","Business Science Reference, an imprint of IGI Global",2016,7,Marketing,46
Anil Aggrawal's internet journal of book reviews,,,,,,2002,1,Miscellaneous,47
Animal feed science and nutrition,,,, Amlan Patra,IntechOpen,2023,1,Miscellaneous,48
Animal reproduction,,,, Yusuf Bozkurt ; co-editor Mustafa Numan Bucak,IntechOpen,2023,1,Miscellaneous,49
Annual announcement,,,,Illinois Federation of Women's Clubs,,1898,1,Miscellaneous,50
Applications of artificial neural networks for nonlinear data,,,,"Hiral Ashil Patel (Ganpat University, India), A.V. Senthil Kumar (Hindusthan College of Arts and Science, India)","IGI Global, Publisher of Timely Knowledge",2021,1,Miscellaneous,51
